日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/7/20,土,西神中央,2526,1491,4751,39,,,
2019/7/21,日,三宮,5249,2137,15188,78,,,
2019/7/21,日,西神中央,1782,1032,3779,25,,,
2019/7/22,月,三宮,14074,5413,16532,48,,,
2019/7/22,月,西神中央,6217,2155,6621,35,,,
2019/7/23,火,三宮,14275,5244,19390,101,,,
2019/7/23,火,西神中央,6434,2193,7249,36,,,
2019/7/24,水,三宮,14217,5145,20226,72,,,
2019/7/24,水,西神中央,6461,2185,7610,43,,,
2019/7/25,木,三宮,14482,5193,18817,58,,,
2019/7/25,木,西神中央,6422,2126,7495,43,,,
2019/7/26,金,三宮,14249,5168,21239,68,,,
2019/7/26,金,西神中央,6324,2134,7388,53,,,
2019/7/27,土,三宮,6580,2738,16643,86,,,
2019/7/27,土,西神中央,2322,1234,4445,32,,,
2019/7/28,日,三宮,5209,2154,16292,57,,,
2019/7/28,日,西神中央,1774,982,3971,26,,,
2019/7/29,月,三宮,14216,4346,17858,71,,,
2019/7/29,月,西神中央,6273,1882,6635,48,,,
2019/7/30,火,三宮,14400,4422,17944,57,,,
2019/7/30,火,西神中央,6397,1946,6659,23,,,
2019/7/31,水,三宮,14334,4376,18466,71,,,
2019/7/31,水,西神中央,6380,1849,6678,53,,,
2019/8/1,木,三宮,14396,4328,18972,77,,,
2019/8/1,木,西神中央,6340,1728,6758,44,,,
2019/8/2,金,三宮,14077,3935,20439,67,,,
2019/8/2,金,西神中央,6242,1689,7071,50,,,
2019/8/3,土,三宮,6949,3018,21256,80,,,
2019/8/3,土,西神中央,2626,1454,5113,40,,,
2019/8/4,日,三宮,5213,2127,15129,66,,,
2019/8/4,日,西神中央,1741,900,3740,22,,,
2019/8/5,月,三宮,14046,3426,17790,69,,,
2019/8/5,月,西神中央,6287,1517,6619,47,,,
2019/8/6,火,三宮,14088,3200,19683,59,,,
2019/8/6,火,西神中央,6265,1419,6771,43,,,
2019/8/7,水,三宮,13921,3163,20046,69,,,
2019/8/7,水,西神中央,6235,1436,6868,44,,,
2019/8/8,木,三宮,13834,2915,20765,83,,,
2019/8/8,木,西神中央,6162,1315,7019,48,,,
2019/8/9,金,三宮,13431,2686,23012,81,,,
2019/8/9,金,西神中央,5726,1304,7164,34,,,
2019/8/10,土,三宮,6292,2188,19825,101,,,
2019/8/10,土,西神中央,2290,996,4653,19,,,
2019/8/11,祝,三宮,4856,1684,17934,97,,,
2019/8/11,祝,西神中央,1640,841,4254,28,,,
2019/8/12,祝,三宮,4791,1706,15293,70,,,
2019/8/12,祝,西神中央,1694,753,4072,15,,,
2019/8/13,火,三宮,8795,1683,16368,83,,,
2019/8/13,火,西神中央,3507,723,4827,18,,,
2019/8/14,水,三宮,8656,1674,14889,46,,,
2019/8/14,水,西神中央,3451,701,4212,3,,,
2019/8/15,木,三宮,4812,273,4730,9,,,
2019/8/15,木,西神中央,2039,76,1354,2,,,
2019/8/16,金,三宮,10545,1928,18590,76,,,
2019/8/16,金,西神中央,4235,922,5551,30,,,
2019/8/17,土,三宮,6242,2088,17093,60,,,
2019/8/17,土,西神中央,2253,1097,4457,27,,,
2019/8/18,日,三宮,4994,1976,15709,74,,,
2019/8/18,日,西神中央,1626,972,3818,36,,,
2019/8/19,月,三宮,13602,2407,17631,57,,,
2019/8/19,月,西神中央,6071,1316,6511,53,,,
